Cód.Turma,Data Início,Evento,IC
310500,11/7/2026,Congresso Internacional de Inversão Existencial,ASSINVEXIS
309239,17/10/2025,Acoplamentarium,CEAEC
310517,1/9/2025,Live Editares,EDITARES
309236,23/08/2025,Acoplamentarium,CEAEC
310222,15/08/2025,International Week of Conscientiology 2025,ISIC
310459,27/07/2025,Live Editares,EDITARES
307320,21/07/2025,Semana Paracientífica,CEAEC
310081,19/07/2025,Jantar de 3 Décadas do Ceaec,CEAEC
310039,18/07/2025,Curso de Campo,ASSINVEXIS
310067,10/7/2025,Teoria e Prática da Inversão Existencial,ASSINVEXIS
308788,10/7/2025,Semana da Invéxis,ASSINVEXIS
309231,13/06/2025,Acoplamentarium,CEAEC
309391,3/5/2025,Curso Temático Julgamento da Humanidade,JURISCONS
309404,25/04/2025,Aniversário Comemorativo 1a Década da Juriscons,JURISCONS
309404,25/04/2025,Aniversário Comemorativo 1a Década da Juriscons,JURISCONS
309981,23/04/2025,Semana da Paradireitologia,JURISCONS
307467,20/03/2025,Curso Programa Verbetografia,ENCYCLOSSAPIENS
310041,17/03/2025,Clube de Leitura dos Clássicos,APEX
307650,1/3/2025,Balanço Existencial,APEX
309266,9/2/2025,Tpc - Teoria e Prática da Conscienciologia,CEAEC
309692,1/1/2025,Acoplamentarium,CEAEC
305815,1/6/2022,Dinâmicas Passaporte,CEAEC
