pedido,pedido_url,pedido_data,pedido_valor,encomenda_url
#39017,https://store.conscienciologia.org.br/my-account/visualizar-pedido/39017/,13 de agosto de 2025,"5,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#39017
#38446,https://store.conscienciologia.org.br/my-account/visualizar-pedido/38446/,22 de julho de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#38446
#38158,https://store.conscienciologia.org.br/my-account/visualizar-pedido/38158/,8 de julho de 2025,"110,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#38158
#38032,https://store.conscienciologia.org.br/my-account/visualizar-pedido/38032/,2 de julho de 2025,"1.860,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#38032
#37413,https://store.conscienciologia.org.br/my-account/visualizar-pedido/37413/,9 de junho de 2025,"375,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#37413
#37412,https://store.conscienciologia.org.br/my-account/visualizar-pedido/37412/,9 de junho de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#37412
#37411,https://store.conscienciologia.org.br/my-account/visualizar-pedido/37411/,9 de junho de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#37411
#37341,https://store.conscienciologia.org.br/my-account/visualizar-pedido/37341/,5 de junho de 2025,"1.272,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#37341
#36743,https://store.conscienciologia.org.br/my-account/visualizar-pedido/36743/,30 de abril de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#36743
#36250,https://store.conscienciologia.org.br/my-account/visualizar-pedido/36250/,15 de abril de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/2/#36250
#35945,https://store.conscienciologia.org.br/my-account/visualizar-pedido/35945/,6 de abril de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/2/#35945
#35944,https://store.conscienciologia.org.br/my-account/visualizar-pedido/35944/,6 de abril de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/2/#35944
#35493,https://store.conscienciologia.org.br/my-account/visualizar-pedido/35493/,17 de março de 2025,"630,00",https://store.conscienciologia.org.br/my-account/encomendas/2/#35493
#34961,https://store.conscienciologia.org.br/my-account/visualizar-pedido/34961/,26 de fevereiro de 2025,"960,00",https://store.conscienciologia.org.br/my-account/encomendas/2/#34961
#33854,https://store.conscienciologia.org.br/my-account/visualizar-pedido/33854/,18 de janeiro de 2025,"450,00",https://store.conscienciologia.org.br/my-account/encomendas/2/#33854
