Data,Loja,Categoria,Produto
9/4/2025,JURISCONS,Curso,Fundamentos do Código Pessoal de Cosmoética
9/4/2025,ASSIPI,Curso,40 Manobras Energéticas
7/22/2025,Editares,Curso,Escola de Editores
8/7/2025,CEAEC,Evento,Jantar de aniversário 3 Décadas
7/2/2025,ASSINVÉXIS,Curso,Teoria e Prática da Inversão Existencial
7/2/2025,ASSINVÉXIS,Curso,Curso de campo Intermissarium + Congresso de Inversão Existencial
9/6/2025,ISIC,Evento,International Week - Universalism: A Step Towards Polykarma
9/6/2025,ISIC,Evento,International Week - Introductory Lecture: What Is Conscientiology?
9/6/2025,ISIC,Evento,International Week - International Journal Of Conscientiology
9/6/2025,ISIC,Evento,International Week - Meet The Authors
9/6/2025,ISIC,Evento,International Week - Guided Visit To Editares And Welcome Coffee
9/6/2025,ISIC,Evento,International Week - Welcome and Opening
6/5/2025,CEAEC,Curso,Pacote Acoplamentarium 2025 - 3 cursos
4/30/2025,JURISCONS,Curso,Curso Julgamento da Humanidade - Aula Magna
4/15/2025,JURISCONS,Evento,Aniversário Comemorativo 1a Década da Juriscons
4/6/2025,JURISCONS,Evento,Paradireito e Cosmologia
4/6/2025,JURISCONS,Evento,Aniversário Comemorativo 1a Década da Juriscons
3/17/2025,ENCYCLOSSAPIENS,Curso,Programa Verbetografia
2/26/2025,APEX,Curso,XXIII Balanço Existencial 2025
1/18/2025,CEAEC,Curso,TPC (Teoria e prática da Conscienciologia)
