Data,Loja,Categoria,Produto,Descrição,pedido,pedido_url,pedido_data,pedido_valor,encomenda_url
7/22/2025,Editares,Curso,Escola de Editores,Editares - Escola de Editores,#38446,https://store.conscienciologia.org.br/my-account/visualizar-pedido/38446/,22 de julho de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#38446
8/7/2025,CEAEC,Evento,Jantar de aniversário 3 Décadas,Jantar de aniversário 3 Décadas - CEAEC,#38158,https://store.conscienciologia.org.br/my-account/visualizar-pedido/38158/,8 de julho de 2025,"110,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#38158
7/2/2025,ASSINVÉXIS,Curso,Teoria e Prática da Inversão Existencial,Teoria e Prática da Inversão Existencial - Semana da Invéxis 2025 - 10 a 12 de Julho de 2025,#38032,https://store.conscienciologia.org.br/my-account/visualizar-pedido/38032/,2 de julho de 2025,"1.860,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#38032
7/2/2025,ASSINVÉXIS,Curso,Curso de campo Intermissarium + Congresso de Inversão Existencial,Curso de campo Intermissarium + Congresso de Inversão Existencial - Semana da Invéxis 2025,,,,,
9/6/2025,ISIC,Evento,International Week - Universalism: A Step Towards Polykarma,International Week of Conscientiology 2025 - Universalism: A Step Towards Polykarma,#37413,https://store.conscienciologia.org.br/my-account/visualizar-pedido/37413/,9 de junho de 2025,"375,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#37413
9/6/2025,ISIC,Evento,International Week - Introductory Lecture: What Is Conscientiology?,International Week of Conscientiology 2025 - Introductory Lecture: What Is Conscientiology?,#37412,https://store.conscienciologia.org.br/my-account/visualizar-pedido/37412/,9 de junho de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#37412
9/6/2025,ISIC,Evento,International Week - International Journal Of Conscientiology,International Week of Conscientiology 2025 - International Journal Of Conscientiology,,,,,
9/6/2025,ISIC,Evento,International Week - Meet The Authors,International Week of Conscientiology 2025 - Meet The Authors,,,,,
9/6/2025,ISIC,Evento,International Week - Guided Visit To Editares And Welcome Coffee,International Week of Conscientiology 2025 - Guided Visit To Editares And Welcome Coffee,,,,,
9/6/2025,ISIC,Evento,International Week - Welcome and Opening,International Week of Conscientiology 2025 - Welcome & Opening,#37411,https://store.conscienciologia.org.br/my-account/visualizar-pedido/37411/,9 de junho de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#37411
6/5/2025,CEAEC,Curso,Pacote Acoplamentarium 2025 – 3 cursos,Pacote Acoplamentarium 2025 – 3 cursos,#37341,https://store.conscienciologia.org.br/my-account/visualizar-pedido/37341/,5 de junho de 2025,"1.272,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#37341
4/30/2025,JURISCONS,Curso,Curso Julgamento da Humanidade - Aula Magna,Curso Julgamento da Humanidade - Aula Magna Gratuita - 03.05.2025,#36743,https://store.conscienciologia.org.br/my-account/visualizar-pedido/36743/,30 de abril de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/1/#36743
4/15/2025,JURISCONS,Evento,Aniversário Comemorativo 1a Década da Juriscons,Aniversário Comemorativo 1a Década da Juriscons - Atividade Gratuita 25/04/2025,#36250,https://store.conscienciologia.org.br/my-account/visualizar-pedido/36250/,15 de abril de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/2/#36250
4/6/2025,JURISCONS,Evento,Paradireito e Cosmologia,Paradireito e Cosmologia - Atividade Gratuita 23/04/2025,#35945,https://store.conscienciologia.org.br/my-account/visualizar-pedido/35945/,6 de abril de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/2/#35945
4/6/2025,JURISCONS,Evento,Aniversário Comemorativo 1a Década da Juriscons,Aniversário Comemorativo 1a Década da Juriscons - Atividade Gratuita 25/04/2025,#35944,https://store.conscienciologia.org.br/my-account/visualizar-pedido/35944/,6 de abril de 2025,"0,00",https://store.conscienciologia.org.br/my-account/encomendas/2/#35944
3/17/2025,ENCYCLOSSAPIENS,Curso,Programa Verbetografia,Programa Verbetografia - Primeiro Semestre 2025 - Quinta-feira,#35493,https://store.conscienciologia.org.br/my-account/visualizar-pedido/35493/,17 de março de 2025,"630,00",https://store.conscienciologia.org.br/my-account/encomendas/2/#35493
2/26/2025,APEX,Curso,XXIII Balanço Existencial 2025,XXIII Balanço Existencial 2025 - Presencial,#34961,https://store.conscienciologia.org.br/my-account/visualizar-pedido/34961/,26 de fevereiro de 2025,"960,00",https://store.conscienciologia.org.br/my-account/encomendas/2/#34961
1/18/2025,CEAEC,Curso,15ª Turma - TPC (Teoria e prática da Conscienciologia),15ª Turma - TPC 09 FEV à 18 MAI - 2025 ( 12 encontros),#33854,https://store.conscienciologia.org.br/my-account/visualizar-pedido/33854/,18 de janeiro de 2025,"450,00",https://store.conscienciologia.org.br/my-account/encomendas/2/#33854
