Data	IC	Dinâmica
17/11/2025	CEAC	Ortopensenologia
20/10/2025	CEAC	Ortopensenologia
06/10/2025	CEAC	Ortopensenologia
29/09/2025	CEAC	Ortopensenologia
22/09/2025	CEAC	Ortopensenologia
08/09/2025	CEAC	Ortopensenologia
30/06/2025	CEAC	Ortopensenologia
23/06/2025	CEAC	Ortopensenologia
16/06/2025	CEAC	Ortopensenologia
09/06/2025	CEAC	Ortopensenologia
02/06/2025	CEAC	Ortopensenologia
26/05/2025	CEAC	Ortopensenologia
19/05/2025	CEAC	Ortopensenologia
05/05/2025	CEAC	Ortopensenologia
28/04/2025	CEAC	Ortopensenologia
21/04/2025	CEAC	Ortopensenologia
31/03/2025	CEAC	Ortopensenologia
10/03/2025	CEAC	Ortopensenologia
24/02/2025	CEAC	Ortopensenologia
17/02/2025	CEAC	Ortopensenologia
10/02/2025	CEAC	Ortopensenologia
03/02/2025	CEAC	Ortopensenologia
26/08/2025	OIC	Dinâmica Parapsíquica da Intercompreensão: Teática Consciencioterápica
28/08/2025	OIC	Dinâmica Parapsíquica da Autorganização Parafisiológica
29/08/2025	OIC	Dinâmica Parapsíquica da Projecioterapeuticologia
?	CEAC	ENERGOSSOMÁTICA
?	CEAC	MEGAFRATERNOLOGIA
?	CEAC	PARADIREITO	 PAZ E PARACOSMOPOLITISMO
?	CEAC	DESPERTICIDADE
?	CEAC	EXTRATERRESTROLOGIA
?	CEAC	ENCICLOPEDISMO REURBANOLÓGICO
